,Unnamed: 0,recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,ZIPCode,ESRI_OID,geo,point,latitude,longitude,altitude
0,0,11670034,10CC9DA963A5D3EF,2022/12/23 11:14:00+00,High,NE,AUTO ACC/INJURY,P223571963,MOYER AV/ORLANDO AV,MOYER AV and ORLANDO AV BALTIMORE MD,North Harford Road,Northeastern,424.0,2.0,D4,Harford/Echodale,Census Tract 2705.01,21234.0,8037,,"(None, None, None)",,,
1,1,11573515,11CC9DA9638A8484,2022/12/02 18:04:00+00,High,NE,COMMON ASSAULT,P223363845,5700 PURDUE AV,5700 PURDUE AV BALTIMORE MD,Woodbourne Heights,Northeastern,414.0,4.0,D3,Loch Raven,Census Tract 2708.02,21239.0,23321,"Purdue Avenue, Woodbourne Heights, Baltimore, Maryland, 21239, United States","(39.3570839, -76.5935601, 0.0)",39.3570839,-76.5935601,0.0
2,2,11617084,11CC9DA963968A70,2022/12/11 20:57:00+00,High,SE,DISCHRG FIREARM,P223454158,1400 E BALTIMORE ST,1400 E BALTIMORE ST BALTIMORE MD,Washington Hill,Southeastern,212.0,12.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,23388,"1400, East Baltimore Street, Washington Hill, Baltimore, Maryland, 21231, United States","(39.291471, -76.598542, 0.0)",39.291471,-76.598542,0.0
3,3,11641102,11CC9DA9639D039E,2022/12/16 18:47:00+00,High,SE,BURGLARY,P223503758,600 N DECKER AV,600 N DECKER AV BALTIMORE MD,Ellwood Park/Monument,Southeastern,224.0,13.0,D5,Madison/East End,Census Tract 701,21205.0,23411,"600, North Decker Avenue, Ellwood Park/Monument, Baltimore, Maryland, 21205, United States","(39.298362600000004, -76.5746424201714, 0.0)",39.2983626,-76.5746424201714,0.0
4,4,11681231,11CC9DA963AA03BB,2022/12/26 15:27:00+00,High,SW,BURGLARY,P223602301,2900 BAKER ST,2900 BAKER ST BALTIMORE MD,Northwest Community Action,Southwestern,813.0,7.0,D9,Greater Rosemont,Census Tract 1506,21216.0,23463,"2900, Baker Street, Northwest Community Action, Baltimore, Maryland, 21216, United States","(39.306037, -76.665757, 0.0)",39.306037,-76.665757,0.0
5,5,11682468,11CC9DA963AA501B,2022/12/26 20:53:00+00,High,NW,HARRASSMENT,P223603436,4700 NAVARRO AV,4700 NAVARRO AV BALTIMORE MD,West Arlington,Northwestern,621.0,5.0,D1,Howard Park/West Arlington,Census Tract 2801.02,21215.0,23470,"4700, Navarro Avenue, West Arlington, Baltimore, Maryland, 21215, United States","(39.339839, -76.696005, 0.0)",39.339839,-76.696005,0.0
6,6,11581158,14CC9DA9638CD6BC,2022/12/04 12:19:00+00,High,SE,AGGRAV ASSAULT,P223382154,4100 MARIBAN CT,4100 MARIBAN CT BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,21225.0,24735,"4100, Mariban Court, Brooklyn, Baltimore, Maryland, 21225, United States","(39.229427, -76.598032, 0.0)",39.229427,-76.598032,0.0
7,7,11584733,1B01020A638DDB1A,2022/12/05 06:50:00+00,High,CD,AUTO ACC/INJURY,P223391115,E MT ROYAL AV/ST PAUL ST,E MT ROYAL AV and ST PAUL ST BALTIMORE MD,Mid-Town Belvedere,Central,141.0,12.0,D8,Midtown,Census Tract 1101,21201.0,25734,,"(None, None, None)",,,
8,8,11599937,14CC9DA96391DE7B,2022/12/08 07:54:00+00,High,SE,BURGLARY,P223421435,400 N PORT ST,400 N PORT ST BALTIMORE MD,McElderry Park,Southeastern,221.0,13.0,D5,Patterson Park North & East,Census Tract 602,21224.0,26792,"400, North Port Street, McElderry Park, Baltimore, Maryland, 21224, United States","(39.295917, -76.58299685700001, 0.0)",39.295917,-76.58299685700001,0.0
9,9,11660532,14CC9DA963A30563,2022/12/21 08:08:00+00,High,NE,AGGRAV ASSAULT,P223551217,1300 BLK N GILMOR ST,1300 BLK N GILMOR ST BALTIMORE MD,Sandtown-Winchester,Western,743.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,21217.0,26870,,"(None, None, None)",,,
